,Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,CriticalCases,Total1MpopCases,Deaths1Mpop,TotalTests,Tests1Mpop,Population
0,USA,2705968.9260869566,28465.704347826086,2623815.230434783,54011.30869565217,194.74347826086955,293206,3239.0,29482925.4,3339729.0,34545960.41739131
1,India,2290921.3822873347,23875.19871455577,2222344.374914934,39583.0,182.67714555765596,31698,376.0,24749551.727826085,635857.0,33240485.162684307
2,France,2107024.0535146706,21680.616969836443,2040619.3721971726,45026.53177693761,180.43661140790664,538892,2365.0,20968389.548381854,4139547.0,27269218.68078294
3,Brazil,1962520.0276603866,21100.628347966165,1899373.7390328124,42349.442784663435,177.44285754446275,161162,3186.0,19879164.337722644,296146.0,27102630.4228733
4,Germany,1820153.7799545624,18209.644123392107,1760507.3813764334,41741.8577532924,142.04913083813432,397126,1788.0,19688307.808756217,1458359.0,26284147.976885792
5,S. Korea,1683231.0876934954,28406.0,1627660.891730244,38239.757134828455,136.553692276561,482547,553.0,15804065.0,307892.0,51329899.0
6,UK,1582857.7402486843,17636.86866305903,1530331.3260421148,35244.12999193641,135.61696919950256,344857,2773.0,19242029.21662038,2011561.9782608696,26033715.594176598
7,Italy,1487035.5912932437,16887.815918115804,1435472.4578944717,35031.443600597,135.5718255873265,372250,2938.0,17053835.969736118,4092684.0,25849088.675020844
8,Japan,1395967.0373423449,16191.44120471631,1347019.7120592303,33113.55857277351,135.5482248290105,169043,356.0,16055650.495691493,606772.0,25699463.973607894
9,Russia,1309735.5201133988,16067.586601258556,1264267.2368942704,29759.92621874209,135.2506084152236,143674,2655.0,15794147.206542326,1875095.0,25265179.738710538
10,Turkey,1224349.7180269351,14454.128282133592,1182895.5161851153,18353.0,125.83865453876807,197211,1182.0,14674121.759614248,1902052.0,24741089.446270145
11,Spain,1156308.6602792263,14077.237535534174,1115193.7532120068,27360.8650283888,122.14664868893661,287083,2442.0,14030342.423786486,1987141.1303402646,46719142.0
12,Vietnam,1103021.90228044,13642.425524819104,1062568.978225972,27135.0992241644,106.0,115993,436.0,12043359.877802948,867342.0,24476650.809080016
13,Australia,1057913.7975077464,14984.0,1021141.3781313024,23584.290959921636,49.0,391627,575.0,11722563.40770644,3024116.0,26068792.0
14,Argentina,1018125.4270621279,13514.140418405274,981522.453688395,15175.0,121.20380803106242,211006,2823.0,11430769.996435598,776264.0,46010234.0
15,Netherlands,980341.5376145721,22643.0,944210.1687044315,37229.0,35.0,489345,1316.0,21107399.0,1226358.0,17211447.0
16,Iran,947985.0399520267,13008.127985441819,911956.8911770595,23422.653094529993,120.45252023989313,87748,1679.0,11325181.73989836,628851.0,24152838.243032537
17,Mexico,919287.9314300788,12436.767672335045,884072.4863560902,23183.060281897513,120.29361815397962,53849,2509.0,18393211.0,139806.0,23883838.24843703
18,Indonesia,892482.7137406445,11055.775357866934,860290.397166334,18357.0,99.95576431986649,23035,566.0,11139223.590941396,389264.0,23415668.97125632
19,Taiwan,868407.5646699517,11003.0,836842.4554148833,21542.682283123155,99.95576431986649,268661,461.0,25998416.0,1088319.0,23888595.0
20,Colombia,844279.1584293862,10416.483076814184,816119.1834819046,30888.0,76.72929270525663,122443,2753.0,10715233.306554185,709974.0,51512762.0
21,Poland,820526.58085734,9845.276481495985,792994.9625405215,18141.811336528037,75.57594180397514,166659,3114.0,10602809.45136529,989290.0,37739785.0
22,Portugal,796747.687730633,25024.0,773243.0275950455,14585.067037991204,61.0,541453,2468.0,10486579.888110356,4436467.0,10140570.0
23,Ukraine,776339.4646338095,9377.04290098075,753149.3538019805,14340.536894678122,62.48714155094895,119865,2528.0,19521252.0,451963.0,43192122.0
24,Austria,757205.2144800435,20738.0,734799.7683837283,13992.204446394115,47.0,564539,2287.0,10336572.378928227,1951944.7961243526,9066710.0
25,Greece,738243.0110647393,8943.003957071971,716226.8456375706,13656.509683117567,61.98925955769221,476918,3209.0,9522628.080575742,1865701.899585763,10316637.0
26,Malaysia,720060.6241563251,8837.925713407067,698310.862357734,25174.0,43.0,145832,1096.0,9154726.611360855,1947021.0,33181072.0
27,DPRK,702152.7486091787,74.0,680576.0008897241,0.0,43.0,183636,3.0,9154726.611360855,1947021.0,25990679.0
28,Thailand,684454.2257770448,8718.225390421878,662783.9878501142,6459.0,61.75877807750825,66801,468.0,17270775.0,246450.0,22303847.945044387
29,Israel,667076.5963239014,11698.0,645482.6877972886,8004.0,101.0,499796,1254.0,8672556.764503123,4436346.0,9326000.0
30,Chile,649711.2945687879,8613.665500815017,628109.160352929,18350.0,55.52294667784525,240017,3176.0,8530379.341740092,2344339.0,19250195.0
31,Belgium,632447.5306321305,8385.285785601169,611097.0871370722,13497.720594783294,48.0,388511,2799.0,8371255.017138962,3047194.0,11668278.0
32,Canada,615487.5242435746,8279.74789771248,594399.3831681028,13343.271553891047,99.0,110280,1172.0,8253062.612865653,1691366.0,38388419.0
33,Peru,599757.1743489814,8120.12941031123,579021.2630949208,11948.0,55.22522035905327,122998,1180.3565217391304,8006645.998138982,1042815.0,33684208.0
34,Czechia,584351.4011939769,7213.960407747365,564518.7555431596,24088.0,39.0,381910,3824.0,7888734.1024787165,1834139.4600187447,10736784.0
35,Switzerland,569063.8855469942,14183.0,549428.2588281299,13152.9857780384,54.0,465520,1617.0,22318542.0,2543819.0,8773637.0
36,South Africa,553780.2198319811,7066.808061694092,534369.977344774,7319.0,54.82619957800568,66146,1682.0,7678629.750750364,430811.0,22096133.35784893
37,Philippines,538715.051222555,6653.25070544059,519696.52072453377,28172.0,53.633383922162245,35069,559.0,7598213.232275366,291500.0,21928046.394187406
38,Romania,523902.65579308785,6408.630056333809,505197.47081464046,20230.0,50.84048559138904,171684,3521.0,7488656.1158939535,1318569.0,19031335.0
39,Denmark,511974.5369052317,7065.0,493567.35547035624,10370.0,50.84048559138904,533138,1211.0,7412110.57291958,1819350.8141927393,5834950.0
40,Sweden,500675.1609787327,20194.0,482263.75266805344,20122.0,13.0,253298,1976.0,18965590.0,1855920.0,10218971.0
41,Iraq,491597.91820037935,6145.119752230912,473281.74724487105,923.0,21.0,58342,601.0,19239264.0,456286.0,42164965.0
42,Serbia,483039.726540381,17000.0,464758.17223289225,12961.081368377698,33.0,272683,1965.0,11030499.0,1274758.0,8653016.0
43,Hungary,474881.0731775131,6061.5985337623515,456785.22515564394,32464.0,18.0,217998,1157.5363327032137,11394556.0,1186160.0,9606259.0
44,Bangladesh,467840.8082782849,5881.418527387405,450013.9652650163,30626.0,50.213011553053285,12059,175.0,14872260.0,88586.0,21534216.18720561
45,Singapore,461072.7726621036,1617.0,443429.2390270381,12826.155635196732,9.0,320380,272.0,6886086.188454012,4096043.0,5943546.0
46,Slovakia,454798.3412388953,20455.0,437439.10528367746,4827.0,22.0,337574,3746.0,7298163.0,1336613.0,5460193.0
47,Georgia,448761.7253312383,16900.0,1637293.0,12527.94326839324,22.0,448679,4258.0,16920079.0,4263340.0,3968738.0
48,New Zealand,442970.7284848524,2959.0,431436.9361762152,8857.0,22.0,363292,604.0,7544063.0,1540170.0,4898203.0
49,Hong Kong,437159.8360000039,10153.0,1469240.0,12032.421282603644,8.0,231630,1335.0,6810177.784925552,1731587.387297925,7604299.0
50,Jordan,431402.3526782648,14122.0,425627.27068132913,1868.0,59.0,169597,1371.0,17201885.0,1669945.0,10300869.0
51,Ireland,425682.37595077895,7905.0,1648405.0,7343.0,13.0,331392,1575.0,12708583.0,2531490.0,5020199.0
52,Pakistan,1572598.0,5779.329042723872,1536924.0,5058.0,47.0,6853,133.0,6603473.636164359,132806.0,20897905.435845632
53,Norway,1462318.0,4098.0,1457108.0,1112.0,20.0,265327,744.0,11002430.0,1996315.0,5511370.0
54,Kazakhstan,1393468.0,13690.0,1378440.0,1338.0,24.0,72557,713.0,11575012.0,602707.0,19205043.0
55,Finland,1292940.0,5981.0,1263711.0,23248.0,21.0,232754,1077.0,11505032.0,2071128.0,5554960.0
56,Morocco,1264935.0,16278.0,1248543.0,114.0,44.644372472849184,33488,431.0,12577650.0,332982.0,37772756.0
57,Bulgaria,1258670.0,5671.3435168226715,1211397.0,9559.0,43.0,183892,1141.0690993671408,10559171.0,1542702.0,6844597.0
58,Lithuania,1249134.0,9320.0,1216151.0,23663.0,12.0,469298,3502.0,10174473.0,3822535.0,2661708.0
59,Croatia,1231575.0,16902.0,1209524.0,5149.0,10.0,303397,4164.0,5225875.0,1287388.0,4059286.0
60,Lebanon,1215511.0,10674.0,1087587.0,10858.701375136703,74.0,181831,1597.0,4795578.0,717380.0,6684849.0
61,Slovenia,1181073.0,6820.0,1145051.0,29202.0,22.0,568361,3282.0,2743244.0,1320115.0,2078034.0
62,Tunisia,1145686.0,5532.027619069728,1145051.0,688.0,99.0,95104,2428.0,4948208.0,410754.0,12046656.0
63,Guatemala,1123465.0,19789.0,1102988.0,688.0,5.0,60453,1065.0,5884813.0,316660.0,18584039.0
64,Cuba,1111179.0,8530.0,1102548.0,101.0,23.0,98285,754.0,14149157.0,1251512.0,11305652.0
65,Bolivia,1108195.0,5428.91034784829,1051789.0,10396.13051155034,43.56456539664418,92406,1854.0,2705422.0,225590.0,11992656.0
66,Costa Rica,1072807.0,8913.0,860711.0,10292.757165948384,52.0,207012,1720.0,4659757.0,899158.0,5182354.0
67,UAE,1027031.0,2345.0,1006369.0,18317.0,52.0,101870,233.0,6499673.734582464,1708039.7107209594,10081785.0
68,Ecuador,1003778.0,5355.844740665023,964320.0,3564.0,42.79745481141219,55416,1982.0,3082403.0,170173.0,18113361.0
69,Nepal,999712.0,12018.0,986617.0,1077.0,42.79745481141219,33075,398.0,5936702.0,196413.0,30225582.0
70,Belarus,994037.0,7118.0,985592.0,1327.0,42.79745481141219,105381,755.0,13646641.0,1446722.0,9432800.0
71,Panama,986866.0,8497.0,976873.0,1496.0,16.0,221919,1911.0,7062027.0,1588056.0,4446964.0
72,Uruguay,985422.0,7485.0,976760.0,1177.0,18.0,281870,2141.0,6114822.0,1749083.0,3496016.0
73,Mongolia,982864.0,2179.0,979439.0,1246.0,54.82619957800568,290954,645.0,4030048.0,1193000.0,3378078.0
74,Latvia,929051.0,5990.0,891237.0,31824.0,5.0,502506,3240.0,7650009.0,4137741.0,1848837.0
75,Azerbaijan,821162.0,9910.0,810181.0,1071.0,5.0,79723,962.0,7245111.0,703395.0,10300205.0
76,Saudi Arabia,816389.0,9351.0,803546.0,3492.0,32.0,22776,261.0,5699295.216037171,1236470.0,35844909.0
77,Paraguay,716059.0,19583.0,696110.0,366.0,7.0,98012,2680.0,2657506.0,363751.0,7305843.0
78,Bahrain,680271.0,1520.0,675724.0,3027.0,2.0,381321,852.0,10376306.0,1633274.3790284419,1783983.0
79,Sri Lanka,670763.0,16761.0,653779.0,223.0,2.0,31089,777.0,6486117.0,300619.0,21575842.0
80,Kuwait,658520.0,2563.0,655316.0,641.0,3.0,150336,585.0,8365279.0,1909739.0,4380326.0
81,Dominican Republic,644016.0,4384.0,638911.0,721.0,4.0,58248,397.0,3657057.0,330765.0,11056370.0
82,Myanmar,622802.0,19458.0,597898.0,5446.0,4.0,11277,352.0,9056450.0,163985.0,19990987.65947975
83,Palestine,620548.0,5403.0,608749.0,6396.0,17.0,116087,1011.0,3078533.0,575907.0,5345541.0
84,Estonia,601869.0,2681.0,524990.0,9454.103936235117,4.0,455303,2028.0,3536858.0,2675566.0,1321910.0
85,Moldova,589388.0,11844.0,504142.0,9172.60873595788,49.0,146863,2951.0,3216305.0,801437.0,4013171.0
86,Cyprus,585313.0,1180.0,578452.0,5681.0,60.0,478437,965.0,9640118.0,1615087.0067633481,1223387.0
87,Venezuela,544687.0,5814.0,538033.0,840.0,36.0,18611,199.0,3359014.0,114771.0,29266991.0
88,Egypt,515645.0,5223.070152580958,442182.0,8893.350513070738,33.4556824828654,4857,232.0,3693367.0,34792.0,19837786.98408618
89,Libya,506991.0,6437.0,500507.0,47.0,101.0,72008,914.0,2481983.0,352517.0,7040745.0
90,Ethiopia,493563.0,7572.0,471918.0,14073.0,1.0,4085,63.0,5258807.0,43529.0,19462487.39706047
91,Réunion,472336.0,893.0,418572.0,8719.62595008409,10.0,520159,983.0,1603660.0,1766027.0,908061.0
92,Honduras,456391.0,10993.0,418572.0,6348.0,33.070707189312635,44651,1076.0,1528531.0,149544.0,10221247.0
93,Qatar,450448.0,682.0,443418.0,6348.0,4.0,151161,229.0,3951470.0,1326034.0,2979915.0
94,Armenia,442875.0,8683.0,430192.0,4000.0,4.0,149018,2922.0,3210961.0,1080416.0,2971966.0
95,Bosnia and Herzegovina,398668.0,16136.0,376654.0,5878.0,4.0,122693,1122.0737476252586,1861041.0,572748.0,3249317.0
96,Oman,397993.0,4260.0,384669.0,9064.0,2.0,74755,800.0,5531374.121324289,1587848.863314493,5323993.0
97,North Macedonia,342775.0,9534.0,332806.0,435.0,2.0,164692,1105.3610247888466,2130257.0,1023520.0,2081304.0
98,Kenya,338420.0,5678.0,332663.0,79.0,1.0,6020,101.0,3881967.0,69055.0,19021834.30748247
99,Zambia,333531.0,4017.0,329375.0,139.0,1.0,17130,206.0,3731374.0,191645.0,19470234.0
100,Albania,332173.0,3588.0,326729.0,1856.0,1.0,115886,1252.0,1941032.0,677173.0,2866374.0
101,Botswana,326308.0,2789.0,322955.0,564.0,1.0,133669,1142.0,2026898.0,830300.0,2441162.0
102,Luxembourg,288658.0,1123.0,283668.0,3867.0,1.0,449363,1748.0,4402293.0,1574336.362720208,642371.0
103,Montenegro,280002.0,2781.0,276154.0,1067.0,6.0,445899,1090.2495509835808,2624193.0,4178984.0,627950.0
104,Algeria,270668.0,6879.0,182306.0,8527.663454214891,6.0,5968,152.0,230861.0,5091.0,45350148.0
105,Nigeria,265382.0,3155.0,258381.0,3846.0,11.0,1224,15.0,5441162.0,25104.0,18860123.930558477
106,Zimbabwe,257409.0,5602.0,251281.0,526.0,12.0,16790,365.0,2511501.0,163814.0,15331428.0
107,China,250449.0,5226.0,242254.0,2969.0,36.0,173,4.0,5446727.921851787,110461.0,17999746.49547395
108,Uzbekistan,244199.0,1637.0,241486.0,1076.0,23.0,7103,48.0,1377915.0,40077.0,34382084.0
109,Mozambique,230219.0,2221.0,227882.0,116.0,11.0,6957,67.0,1371127.0,41437.0,33089461.0
110,Brunei,226237.0,225.0,222140.0,3872.0,3.0,507906,505.0,717784.0,1611437.0,445431.0
111,Martinique,221618.0,1044.0,222140.0,6686.0,8.0,592424,2791.0,828928.0,2215870.0,374087.0
112,Laos,215843.0,758.0,222140.0,6686.0,8.0,28852,101.0,1233207.0,164845.0,7481023.0
113,Kyrgyzstan,206083.0,2991.0,196406.0,6686.0,32.757971133614,30629,445.0,1907195.0,283460.0,6728271.0
114,Iceland,205637.0,213.0,196406.0,18146.0,2.0,595371,617.0,1996384.0,1551384.8077755135,345393.0
115,El Salvador,201785.0,4229.0,179410.0,18146.0,8.0,30805,646.0,2610114.0,398467.0,6550389.0
116,Afghanistan,199067.0,7799.0,177850.0,13418.0,32.33083187767319,4885,191.0,1103716.0,27082.0,40754388.0
117,Guadeloupe,192801.0,989.0,177850.0,21047.0,19.0,482251,2474.0,938039.0,2346306.0,399794.0
118,Maldives,185042.0,308.0,163687.0,21047.0,25.0,342046,569.0,2213831.0,4092223.0,540985.0
119,Trinidad and Tobago,182597.0,4195.0,174214.0,4188.0,18.0,129816,2982.0,834508.0,593287.0,1406585.0
120,Uganda,169396.0,3628.0,100431.0,8210.466338798433,3.0,3498,75.0,3012408.0,62198.0,11780304.523715144
121,Namibia,169253.0,4065.0,164813.0,375.0,3.0,64260,1543.0,1062663.0,403460.0,2633874.0
122,Ghana,169100.0,1459.0,167307.0,334.0,2.0,5220,45.0,2504017.0,77295.0,32395450.0
123,Jamaica,151829.0,3317.0,99239.0,7962.090105488861,2.0,50862,1111.0,1183986.0,396633.0,2985094.0
124,Cambodia,137870.0,3056.0,134745.0,69.0,2.0,8030,178.0,3069567.0,178789.0,17168639.0
125,Rwanda,132498.0,1466.0,130955.0,77.0,2.0,9742,108.0,5816624.0,427678.0,13600464.0
126,Cameroon,121652.0,1935.0,118616.0,1101.0,13.0,4358,69.0,1751774.0,62762.0,27911548.0
127,Malta,114652.0,806.0,113195.0,651.0,4.0,258206,1815.0,2060900.0,1532999.36780932,444033.0
128,Angola,103131.0,1917.0,101155.0,59.0,4.0,2944,55.0,1499795.0,42818.0,35027343.0
129,Barbados,102546.0,559.0,101760.0,227.0,4.0,356034,1941.0,765378.0,2657350.0,288023.0
130,French Guiana,93974.0,410.0,11254.0,7782.477453773596,3.0,299119,1305.0,651257.0,2072951.0,314169.0
131,DRC,92852.0,1442.0,83504.0,7906.0,3.0,975,15.0,846704.0,8890.0,11620945.573818251
132,Channel Islands,91561.0,202.0,90639.0,720.0,3.0,518868,1145.0,1252808.0,1519484.921582404,176463.0
133,Senegal,88373.0,1968.0,86297.0,108.0,3.0,5006,111.0,1146543.0,64946.0,17653671.0
134,Malawi,88024.0,2682.0,84872.0,470.0,67.0,4362,133.0,616772.0,30562.0,20180839.0
135,Ivory Coast,87208.0,826.0,86338.0,44.0,67.0,3144,30.0,1628106.0,58687.0,27742298.0
136,Suriname,81106.0,1385.0,86338.0,15.0,67.0,135894,2321.0,239178.0,400747.0,596831.0
137,French Polynesia,76599.0,649.0,86338.0,15.0,7.0,269559,2284.0,239178.0,400747.0,284164.0
138,New Caledonia,74152.0,314.0,73823.0,15.0,9.0,254892,1079.0,98964.0,340182.0,290915.0
139,Eswatini,73390.0,1422.0,71955.0,13.0,11.0,61942,1200.0,1045903.0,882755.0,1184817.0
140,Guyana,71336.0,1281.0,69977.0,78.0,11.0,89839,1613.0,695695.0,876141.0,794045.0
141,Belize,68826.0,683.0,68079.0,64.0,6.0,166976,1657.0,576016.0,1397453.0,412190.0
142,Fiji,68242.0,878.0,66302.0,1062.0,6.0,75035,965.0,662620.0,728581.0,909466.0
143,Madagascar,66676.0,1410.0,65242.0,24.0,6.0,2285,48.0,512993.0,17581.0,29178077.0
144,Sudan,63285.0,4961.0,57290.0,1034.0,6.0,1376,108.0,562941.0,12240.0,45992020.0
145,Mauritania,62812.0,995.0,61789.0,28.0,6.0,12814,203.0,970892.0,198061.0,4901981.0
146,Cabo Verde,62371.0,410.0,61890.0,71.0,23.0,109870,722.0,401622.0,707482.0,567678.0
147,Bhutan,61730.0,21.0,61564.0,145.0,23.0,78343,27.0,2303734.0,2923739.0,787941.0
148,Syria,57299.0,3163.0,54078.0,58.0,23.0,2959,163.0,146269.0,7553.0,19364809.0
149,Burundi,50129.0,38.0,49559.0,532.0,23.0,3971,3.0,345742.0,27386.0,12624840.0
150,Gabon,48691.0,306.0,48292.0,93.0,23.0,20884,131.0,1616256.0,693216.0,2331533.0
151,Seychelles,47141.0,169.0,46446.0,526.0,23.0,474132,1700.0,1616256.0,693216.0,99426.0
152,Andorra,46227.0,155.0,46011.0,61.0,14.0,596762,2001.0,249838.0,3225256.0,77463.0
153,Curaçao,45127.0,282.0,44720.0,125.0,3.0,272623,1704.0,496693.0,3000640.0,165529.0
154,Papua New Guinea,44997.0,668.0,43982.0,347.0,7.0,4842,72.0,249149.0,26813.0,9292169.0
155,Aruba,42914.0,227.0,42438.0,249.0,2.0,398796,2109.0,177885.0,1653068.0,107609.0
156,Mauritius,40461.0,1024.0,38786.0,651.0,2.0,31741,803.0,358675.0,281374.0,1274727.0
157,Mayotte,40243.0,187.0,38786.0,221.0,2.0,140582,653.0,176919.0,618038.0,286259.0
158,Tanzania,39440.0,845.0,38786.0,221.0,7.0,623,13.0,176919.0,618038.0,11257381.024139201
159,Togo,39034.0,285.0,38528.0,221.0,7.0,4497,33.0,791865.0,91220.0,8680837.0
160,Isle of Man,38008.0,116.0,38528.0,323.0,7.0,443335,1353.0,150753.0,1758422.0,85732.0
161,Guinea,37652.0,449.0,36880.0,323.0,8.0,2715,32.0,660107.0,47607.0,13865691.0
162,Bahamas,37267.0,833.0,36070.0,364.0,2.0,93047,2080.0,248846.0,621314.0,400516.0
163,Faeroe Islands,34658.0,28.0,36070.0,7804.0,5.0,703959,569.0,778000.0,1495223.764719719,49233.0
164,Lesotho,34490.0,706.0,25980.0,7804.0,5.0,15852,324.0,431221.0,198199.0,2175699.0
165,Haiti,33733.0,857.0,31307.0,1569.0,5.0,2888,73.0,132422.0,11337.0,11680283.0
166,Mali,32625.0,742.0,31591.0,292.0,5.0,1519,35.0,759178.0,35354.0,21473764.0
167,Cayman Islands,30661.0,32.0,8553.0,22076.0,1.0,455743,476.0,222773.0,3311280.0,67277.0
168,Saint Lucia,29408.0,391.0,28475.0,542.0,1.0,158865,2112.0,210354.0,1136355.0,185113.0
169,Benin,27638.0,163.0,27322.0,153.0,5.0,2162,13.0,604310.0,47268.0,12784726.0
170,Somalia,27214.0,1352.0,13182.0,12680.0,5.0,1616,80.0,400466.0,23778.0,16841795.0
171,Congo,24837.0,386.0,24006.0,445.0,5.0,4284,67.0,347815.0,59991.0,5797805.0
172,Timor-Leste,23253.0,138.0,23102.0,13.0,5.0,16980,101.0,278529.0,203391.0,1369429.0
173,Burkina Faso,21631.0,387.0,21143.0,101.0,5.0,979,18.0,248995.0,11265.0,22102838.0
174,Solomon Islands,21544.0,153.0,16357.0,5034.0,1.0,29874,212.0,5117.0,7096.0,721159.0
175,San Marino,20763.0,118.0,20524.0,121.0,4.0,609154,3462.0,157634.0,1433018.6115228483,34085.0
176,Gibraltar,20092.0,108.0,16579.0,3405.0,4.0,596131,3204.0,534283.0,1419141.5967903389,33704.0
177,Liechtenstein,19713.0,86.0,19403.0,224.0,2.0,513533,2240.0,102174.0,2661682.0,38387.0
178,Grenada,19536.0,237.0,19248.0,51.0,4.0,172161,2089.0,179808.0,1584560.0,113475.0
179,Nicaragua,18491.0,225.0,4225.0,14041.0,4.0,2728,33.0,179808.0,1584560.0,6779100.0
180,Bermuda,18154.0,148.0,17969.0,37.0,4.0,293095,2389.0,1006083.0,1356389.1124285578,61939.0
181,South Sudan,17823.0,138.0,17335.0,350.0,1.0,1534,12.0,410280.0,35313.0,11618511.0
182,Tajikistan,17786.0,125.0,17264.0,397.0,1.0,1786,13.0,410280.0,35313.0,9957464.0
183,Equatorial Guinea,17012.0,183.0,16690.0,139.0,5.0,11367,122.0,365697.0,244342.0,1496662.0
184,Tonga,16182.0,12.0,15638.0,532.0,5.0,150182,111.0,535009.0,1291664.1694391167,107749.0
185,Samoa,15925.0,29.0,1605.0,14291.0,4.0,78743,143.0,187397.0,926612.0,202239.0
186,Dominica,15747.0,74.0,15651.0,22.0,4.0,217668,1023.0,228799.0,3162653.0,72344.0
187,Djibouti,15690.0,189.0,15427.0,74.0,4.0,15441,186.0,305941.0,301094.0,1016097.0
188,Marshall Islands,15275.0,17.0,15166.0,92.0,22.0,254342,283.0,305941.0,301094.0,60057.0
189,CAR,14913.0,113.0,14520.0,280.0,2.0,2973,23.0,81294.0,16205.0,5016678.0
190,Monaco,14608.0,63.0,14478.0,67.0,4.0,367192,1584.0,78646.0,1976875.0,39783.0
191,Gambia,12508.0,372.0,12028.0,108.0,4.0,4889,145.0,155686.0,60851.0,2558482.0
192,Saint Martin,11978.0,63.0,1399.0,10516.0,7.0,301485,1586.0,112382.0,2828643.0,39730.0
193,Greenland,11971.0,21.0,2761.0,9189.0,4.0,210117,369.0,164926.0,2894810.0,56973.0
194,Yemen,11935.0,2157.0,9124.0,654.0,23.0,383,69.0,329592.0,10579.0,31154867.0
195,Vanuatu,11930.0,14.0,11894.0,22.0,23.0,37069,44.0,24976.0,77606.0,321832.0
196,Caribbean Netherlands,11235.0,36.0,10476.0,723.0,23.0,421623,1351.0,30126.0,1130559.0,26647.0
197,Sint Maarten,10863.0,87.0,10773.0,3.0,10.0,247077,1979.0,62056.0,1411454.0,43966.0
198,Eritrea,10169.0,103.0,10063.0,3.0,10.0,2777,28.0,23693.0,6470.0,3662244.0
199,Niger,9931.0,312.0,8890.0,729.0,1.0,381,12.0,254538.0,9759.0,26083660.0
200,Micronesia,9759.0,29.0,157.0,9573.0,1.0,83063,247.0,21923.0,186596.0,117489.0
201,Antigua and Barbuda,9098.0,146.0,8923.0,29.0,1.0,91429,1467.0,18901.0,189943.0,99509.0
202,Guinea-Bissau,8796.0,175.0,8301.0,320.0,6.0,4263,85.0,145231.0,70385.0,2063367.0
203,Comoros,8471.0,161.0,8305.0,5.0,6.0,9335,177.0,145231.0,70385.0,907419.0
204,Liberia,7961.0,294.0,7636.0,31.0,2.0,1501,55.0,139824.0,26356.0,5305117.0
205,Sierra Leone,7751.0,126.0,7636.0,2516.0,2.0,933,15.0,259958.0,31296.0,8306436.0
206,Chad,7583.0,193.0,4874.0,2516.0,2.0,435,11.0,191341.0,10988.0,17413580.0
207,British Virgin Islands,7305.0,64.0,4874.0,356.0,2.0,238757,2092.0,107339.0,3508269.0,30596.0
208,St. Vincent Grenadines,7112.0,115.0,6641.0,356.0,2.0,63756,1031.0,100856.0,904125.0,111551.0
209,Saint Kitts and Nevis,6541.0,46.0,6482.0,13.0,2.0,121420,854.0,124861.0,2317778.0,53871.0
210,Cook Islands,6389.0,1.0,6384.0,4.0,2.0,363610,57.0,19690.0,1120596.0,17571.0
211,Turks and Caicos,6380.0,36.0,6321.0,23.0,4.0,160539,906.0,550093.0,1275691.7223497215,39741.0
212,Sao Tome and Principe,6230.0,77.0,6132.0,21.0,4.0,27363,338.0,29036.0,127530.0,227679.0
213,Palau,5460.0,6.0,5444.0,10.0,1.0,299457,329.0,64681.0,3547469.0,18233.0
214,St. Barth,5285.0,6.0,5444.0,5.0,1.0,531423,603.0,78646.0,1221055.8080990682,9945.0
215,Nauru,4611.0,1.0,4605.0,5.0,1.0,422911,92.0,20509.0,1881042.0,10903.0
216,Anguilla,3865.0,12.0,3848.0,5.0,4.0,253775,788.0,51382.0,3373736.0,15230.0
217,Kiribati,3430.0,13.0,2703.0,714.0,3.0,27792,105.0,51382.0,3373736.0,123419.0
218,Saint Pierre Miquelon,3188.0,1.0,2449.0,738.0,1.0,553568,174.0,24902.0,4324015.0,5759.0
219,Falkland Islands,1886.0,8.0,1886.0,0.0,1.0,532919,174.0,8632.0,2439107.0,3539.0
220,Montserrat,1396.0,8.0,1353.0,35.0,1.0,281168,1611.0,17579.0,3540584.0,4965.0
221,Saint Helena,1355.0,6.0,2.0,1353.0,1.0,221586,1611.0,17579.0,3540584.0,6115.0
222,Macao,793.0,6.0,787.0,0.0,1.0,1188,9.0,7850.0,11760.0,667490.0
223,Wallis and Futuna,761.0,7.0,438.0,316.0,1.0,69295,637.0,20508.0,1867419.0,10982.0
224,Diamond Princess,712.0,13.0,699.0,0.0,1.0,69295,637.0,20508.0,1867419.0,10982.0
225,Niue,80.0,1.0,80.0,0.0,1.0,49322,637.0,20508.0,1867419.0,1622.0
226,Vatican City,29.0,1.0,29.0,0.0,1.0,36295,637.0,20508.0,1867419.0,799.0
227,Tuvalu,20.0,1.0,29.0,20.0,1.0,1658,637.0,20508.0,1867419.0,12066.0
228,Western Sahara,10.0,1.0,9.0,0.0,1.0,16,2.0,20508.0,1867419.0,626161.0
229,MS Zaandam,9.0,2.0,7.0,0.0,1.0,16,2.0,20508.0,1867419.0,626161.0
